"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"7/21/2013","The Open Championship","T21","-","-","293.4","-","355","39.29","-","-","-","92","-","-"
"3/10/2013","WGC-Cadillac Championship","T63","-3.259","-.573","296.3","292.4","332","41.07","27' 8""","26.79","17.86","87","113.75","46"
"2/24/2013","WGC-Accenture Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"2/10/2013","AT&T Pebble Beach","CUT","-6.464","-1.090","279.8","262.5","314","53.66","22' 9""","15.38","7.69","1,998","111.90","1,998"
"12/3/2012","(*) PGA TOUR Qualifying Tourn","W/D","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2012","(*) WGC-HSBC Champions","T46","-","-","-","-","-","-","-","-","-","-","-","-"
"8/12/2012","PGA Championship","CUT","-","-","280.3","-","289","67.86","-","-","-","1,998","-","-"
"8/5/2012","WGC-Bridgestone Invit'l","T29","-1.430",".031","319.9","310.6","397","42.86","22' 0""","40.00","7.27","77","116.87","83"
"7/22/2012","The Open Championship","T81","-","-","292.8","-","312","57.14","-","-","-","85","-","-"
"6/17/2012","U.S. Open","CUT","-","-","329.5","-","346","42.86","-","-","-","1,998","-","-"
"3/11/2012","WGC-Cadillac Championship","65","-1.830","-.475","291.8","289.0","348","46.43","33' 2""","20.00","10.91","81","115.08","47"
"2/26/2012","WGC-Accenture Match Play","T33","-","-","-","-","-","-","-","-","-","-","-","-"
"6/20/2010","U.S. Open Championship","T47","-","-","293.0","-","345","58.93","-","-","-","98","-","-"
