"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"9/30/2012","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2012","TOUR Championship","T5","1.135","1.701","319.0","313.0","368","46.43","21' 1""","29.63","20.37","19","126.43","40"
"9/9/2012","BMW Championship","T12","1.802","1.793","313.3","303.6","347","67.86","37' 5""","7.14","25.00","42","124.33","101"
"9/3/2012","Deutsche Bank Champ","CUT","-.938","1.538","314.5","298.7","368","78.57","44' 4""","11.11","3.70","1,998","124.06","1,998"
"8/26/2012","The Barclays","T10","1.815",".746","310.9","308.6","350","46.43","37' 9""","25.00","23.21","81","124.71","130"
"8/12/2012","PGA Championship","T11","-","-","306.4","-","344","67.86","-","-","-","42","-","-"
"8/5/2012","WGC-Bridgestone Invit'l","T19","1.830","1.747","348.6","327.2","442","55.36","32' 5""","14.55","25.45","19","126.21","28"
"7/22/2012","The Open Championship","T23","-","-","287.9","-","324","66.07","-","-","-","77","-","-"
"6/24/2012","Travelers Championship","T2","1.898",".957","325.1","298.9","362","60.71","17' 0""","21.43","12.50","64","126.21","72"
"6/17/2012","U.S. Open","CUT","-","-","330.5","-","341","42.86","-","-","-","1,998","-","-"
"6/3/2012","the Memorial Tournament","CUT","-.274","1.905","304.8","300.4","351","64.29","28' 9""","17.86","14.29","1,998","125.72","1,998"
"4/29/2012","Zurich Classic of New Orl","T18","1.908","2.120","328.6","309.6","363","60.71","33' 11""","10.91","18.18","43","125.77","88"
"4/8/2012","Masters Tournament","1","-","-","290.4","-","324","66.07","-","-","-","50","-","-"
"3/25/2012","Arnold Palmer Invt'l","T4","2.738","1.558","321.1","298.4","370","62.50","25' 4""","8.93","19.64","36","123.69","94"
"3/20/2012","(*) Tavistock Cup","T2","-","-","-","-","-","-","-","-","-","-","-","-"
"3/11/2012","WGC-Cadillac Championship","2","2.184","1.332","318.4","310.6","373","39.29","39' 2""","22.64","22.64","69","125.37","75"
"2/26/2012","WGC-Accenture Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"2/19/2012","Northern Trust Open","T13","2.055","1.544","325.0","299.9","353","66.07","27' 7""","14.29","12.50","7","124.15","89"
"2/5/2012","Waste Management Phoenix","T5","3.247","1.822","319.9","325.3","371","60.71","22' 11""","7.14","19.64","27","123.34","53"
"1/29/2012","Farmers Insurance Open","T13","3.687","1.724","320.8","306.9","370","55.36","29' 2""","11.90","16.67","22","123.04","21"
"1/9/2012","Hyundai T of C","T18",".296",".601","296.4","316.9","427","56.67","25' 8""","11.86","22.03","24","122.77","36"
"12/4/2011","(*) Chevron World Challenge","T6","-","-","-","-","-","-","-","-","-","-","-","-"
"11/20/2011","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/25/2011","TOUR Championship","T23","-1.419",".797","320.1","304.0","373","50.00","28' 6""","18.18","30.91","17","124.46","55"
"9/18/2011","BMW Championship","T53","-.931","-.178","306.6","302.5","339","42.86","31' 7""","20.75","15.09","75","123.85","87"
"9/5/2011","Deutsche Bank Champ","T16","1.278",".361","329.8","300.5","367","62.50","35' 0""","11.11","20.37","46","126.06","37"
"8/28/2011","The Barclays","CUT",".585",".071","305.8","294.4","350","50.00","28' 6""","10.71","21.43","1,998","124.16","1,998"
"8/14/2011","PGA Championship","T26","-","-","317.6","-","350","46.43","-","-","-","71","-","-"
"8/7/2011","WGC-Bridgestone Invit'l","T21","1.800","1.624","330.4","320.9","415","57.14","32' 3""","24.07","12.96","38","124.50","123"
"7/17/2011","The Open Championship","T30","-","-","332.1","-","381","39.29","-","-","-","62","-","-"
"6/26/2011","Travelers Championship","T38","-.076",".052","307.5","295.3","338","62.50","30' 8""","16.36","12.73","73","125.71","123"
"6/19/2011","U.S. Open","T63","-","-","324.8","-","331","55.36","-","-","-","51","-","-"
"6/5/2011","the Memorial Tournament","T42",".335","1.174","301.9","296.4","358","67.86","32' 5""","10.91","14.55","59","-","-"
"5/15/2011","THE PLAYERS Championship","T45",".643",".812","294.3","287.6","341","48.21","24' 7""","20.00","16.36","78","124.35","84"
"5/8/2011","Wells Fargo Championship","T48","1.727",".916","334.5","304.9","364","44.64","32' 11""","21.82","18.18","58","125.54","37"
"5/1/2011","Zurich Classic of New Orl","1","2.956","2.666","331.4","311.0","363","71.43","42' 9""","5.66","15.09","14","125.39","83"
"4/10/2011","Masters Tournament","T38","-","-","292.8","-","326","69.64","-","-","-","28","-","-"
"3/27/2011","Arnold Palmer Invt'l","T24","2.054","1.139","296.1","298.1","369","64.29","29' 2""","9.09","18.18","55","124.51","59"
"3/20/2011","Transitions Championship","T28",".997",".758","307.8","282.9","341","61.54","30' 10""","17.65","15.69","46","123.64","109"
"3/13/2011","WGC-Cadillac Championship","DNS","-","-","-","-","-","-","-","-","-","-","-","-"
"2/27/2011","WGC-Accenture Match Play","4","-","-","-","-","-","-","-","-","-","-","-","-"
"2/20/2011","Northern Trust Open","W/D","-3.851",".915","292.0","291.6","334","42.86","28' 10""","21.43","21.43","1,998","122.31","1,998"
"2/6/2011","Waste Management Phoenix","T29","2.047","1.700","318.9","319.9","364","50.00","32' 0""","14.29","21.43","64","125.17","52"
"1/30/2011","Farmers Insurance Open","1","3.528","1.224","316.6","307.9","362","50.00","24' 9""","14.29","16.67","29","124.85","109"
"1/23/2011","Bob Hope Classic","CUT","-2.685",".769","338.5","291.1","398","61.82","29' 5""","16.67","8.33","1,998","121.95","-"
"1/9/2011","Hyundai T of C","T25","-1.289",".056","291.0","305.8","397","81.67","14' 2""","3.39","8.47","11","122.44","38"
"12/12/2010","(*) The Shark Shootout","T10","-","-","-","-","-","-","-","-","-","-","-","-"
"12/5/2010","(*) Chevron World Challenge","T14","-","-","-","-","-","-","-","-","-","-","-","-"
"11/9/2010","(*) Wendy's 3-Tour Challenge","T1","-","-","-","-","-","-","-","-","-","-","-","-"
"10/3/2010","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/26/2010","THE TOUR Championship","T17","-.205","1.107","317.3","305.9","380","46.43","28' 4""","21.43","30.36","17","123.76","49"
"9/12/2010","BMW Championship","T50","-1.520","-.531","321.6","303.1","351","46.43","32' 1""","26.79","8.93","68","125.24","44"
"9/6/2010","Deutsche Bank Champ","T37",".301",".429","315.5","295.5","349","64.29","24' 7""","11.11","12.96","53","124.05","51"
"8/29/2010","The Barclays","T31","-.001",".812","296.9","295.6","348","53.57","25' 4""","25.00","17.86","62","125.97","103"
"8/15/2010","PGA Championship","2","-","-","327.3","-","393","50.00","-","-","-","68","-","-"
"8/8/2010","WGC-Bridgestone Invit'l","T22",".378",".903","320.4","312.9","384","44.64","32' 4""","30.77","21.15","75","123.85","104"
"7/18/2010","The Open Championship","CUT","-","-","318.5","-","343","62.50","-","-","-","1,998","-","-"
"7/11/2010","John Deere Classic","CUT","1.595",".922","315.5","301.5","359","60.71","33' 8""","18.52","11.11","1,998","126.70","1,998"
"6/29/2010","(*) CVS Caremark Charity","T6","-","-","-","-","-","-","-","-","-","-","-","-"
"6/27/2010","Travelers Championship","1","2.594","1.252","321.3","305.9","396","66.07","17' 10""","17.86","8.93","59","124.61","4"
"6/6/2010","the Memorial Tournament","T33","1.214",".439","284.9","289.4","351","67.86","33' 11""","10.91","14.55","66","-","-"
"5/9/2010","THE PLAYERS Championship","CUT",".685",".613","315.0","295.4","341","46.43","32' 5""","18.52","18.52","1,998","124.01","1,998"
"5/2/2010","Quail Hollow Championship","T22","2.151","1.412","330.3","309.0","383","50.00","32' 2""","19.64","16.07","41","125.09","51"
"4/25/2010","Zurich Classic of New Orl","T43",".462",".764","315.8","298.1","358","55.36","28' 9""","5.45","14.55","67","121.72","49"
"4/4/2010","Shell Houston Open","T14","1.898",".468","327.6","299.9","360","42.86","34' 8""","22.22","18.52","71","123.35","111"
"3/28/2010","Arnold Palmer Invt'l","CUT","-1.594","-.081","270.3","285.8","341","53.57","26' 5""","14.29","17.86","1,998","122.12","1,998"
"3/21/2010","Transitions Championship","3","2.091","1.077","294.0","278.3","341","67.31","33' 4""","11.76","15.69","19","121.64","126"
"3/7/2010","The Honda Classic","T56",".944","1.268","304.0","287.5","342","53.57","31' 1""","8.93","25.00","60","121.81","52"
"2/28/2010","Waste Management Phoenix","T36","1.271",".981","276.0","307.1","387","66.07","30' 5""","1.79","19.64","106","123.28","94"
"2/7/2010","Northern Trust Open","CUT","-.926","1.280","294.5","278.0","333","57.14","16' 9""","21.43","14.29","1,998","119.60","1,998"
"1/31/2010","Farmers Insurance Open","CUT","-.605","1.534","298.3","300.8","327","46.43","27' 2""","14.29","21.43","1,998","121.78","1,998"
