"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"7/19/2015","The Open Championship","CUT","-","33.33","-","37.50","-","-","-","-","-","-"
"7/5/2015","The Greenbrier Classic","T13","-.243",".00","9' 6""","68.75","100.00","66.67",".00","33.33","66.67","100.00"
"6/28/2015","Travelers Championship","1",".198","71.43","6' 5""","90.91","100.00","75.00","75.00","100.00","83.33","100.00"
"6/21/2015","U.S. Open","CUT","-",".00","-","28.57","-","-","-","-","-","-"
"5/10/2015","THE PLAYERS Championship","T42","-.083","16.67","11' 0""","54.17","66.67","83.33","25.00","50.00","66.67","80.00"
"5/3/2015","WGC-Cadillac Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"4/12/2015","Masters Tournament","T38","-","42.86","-","47.83","-","-","-","-","-","-"
"3/8/2015","WGC-Cadillac Championship","3",".751","64.29","11' 2""","66.67","100.00","66.67","33.33","75.00","84.62","66.67"
"2/22/2015","Northern Trust Open","T14","-.451","75.00","6' 3""","70.59","100.00","58.33","25.00","33.33","86.67","100.00"
"2/1/2015","Waste Management Phoenix","T2",".044","87.50","5' 9""","82.61","66.67","100.00","50.00","100.00","88.89","80.00"
"1/12/2015","Hyundai T of C","10","-1.049","20.00","9' 7""","68.42","100.00","75.00","100.00","25.00","80.00","66.67"
"12/7/2014","(*) Hero World Challenge","T11","-","-","-","-","-","-","-","-","-","-"
"11/9/2014","WGC-HSBC Champions","1","-","-","-","61.11","-","-","-","-","-","-"
"10/15/2014","(*) PGA Grand Slam","2","-","-","-","-","-","-","-","-","-","-"
"9/28/2014","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/14/2014","TOUR Championship","14","-.296",".00","15' 2""","42.86","100.00","44.44","20.00","50.00","42.86","75.00"
"9/7/2014","BMW Championship","2",".559","50.00","11' 0""","66.67","100.00","83.33","25.00","66.67","75.00","100.00"
"9/1/2014","Deutsche Bank Champ","T29","-.326","100.00","1' 8""","60.87","-","58.33","16.67","100.00","70.00","80.00"
"8/24/2014","The Barclays","T30","-.317","16.67","13' 9""","62.50","100.00","40.00","33.33","50.00","54.55","87.50"
"8/10/2014","PGA Championship","T64","-.199","57.14","7' 2""","63.33","100.00","75.00","20.00","57.14","77.78","100.00"
"8/3/2014","WGC-Bridgestone Invit'l","T37","-.127","66.67","7' 6""","58.33","100.00","50.00","25.00","83.33","70.00","33.33"
"7/20/2014","The Open Championship","CUT","-","40.00","-","50.00","-","-","-","-","-","-"
"7/6/2014","The Greenbrier Classic","T16",".478","100.00","3' 0""","57.14","100.00","41.67",".00",".00","71.43","66.67"
"6/22/2014","Travelers Championship","T31",".406","100.00","3' 5""","79.17","83.33","100.00","33.33","66.67","88.89","88.89"
"6/15/2014","U.S. Open","CUT","-","50.00","-","41.18","-","-","-","-","-","-"
"6/1/2014","the Memorial Tournament","3",".099","33.33","11' 11""","40.91","100.00","27.27","20.00","50.00","36.36","75.00"
"5/11/2014","THE PLAYERS Championship","T48",".439","46.15","10' 7""","40.91","75.00","60.00","20.00","50.00","55.56","50.00"
"4/13/2014","Masters Tournament","1","-","25.00","-","63.64","-","-","-","-","-","-"
"3/23/2014","Arnold Palmer Invt'l","W/D","-.836",".00","24' 3""","44.44","100.00","-",".00","100.00",".00","100.00"
"3/9/2014","WGC-Cadillac Championship","T2",".308","73.33","10' 9""","67.74","66.67","66.67","58.33","66.67","75.00","100.00"
"2/23/2014","WGC-Accenture Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"2/16/2014","Northern Trust Open","1",".171","22.22","13' 3""","71.43","100.00","83.33","100.00","50.00","70.00","83.33"
"2/2/2014","Waste Management Phoenix","T2",".376","33.33","8' 4""","65.00","100.00","57.14","100.00","25.00","66.67","83.33"
"1/26/2014","Farmers Insurance Open","T23",".252","40.00","8' 2""","56.25","75.00","80.00",".00","-","80.00","100.00"
"12/8/2013","(*) World Challenge","T3","-","-","-","-","-","-","-","-","-","-"
"11/3/2013","WGC-HSBC Champions","T8","-","50.00","-","82.35","-","-","-","-","-","-"
"10/27/2013","CIMB Classic","T31","-","22.22","-","52.38","-","-","-","-","-","-"
"9/15/2013","BMW Championship","T24",".629","100.00","14' 9""","71.43","100.00","62.50",".00","66.67","80.00","71.43"
"9/2/2013","Deutsche Bank Champ","T67","-.418","60.00","7' 3""","52.38","66.67","44.44","60.00","33.33","37.50","80.00"
"8/25/2013","The Barclays","T13","-.527","50.00","6' 3""","60.00","85.71","100.00",".00","100.00","52.94","100.00"
"8/11/2013","PGA Championship","CUT","-","100.00","-","57.14","-","-","-","-","-","-"
"8/4/2013","WGC-Bridgestone Invit'l","T27","-.252","57.14","10' 0""","53.85","100.00","42.86","25.00",".00","66.67","100.00"
"7/28/2013","RBC Canadian Open","T21","-.416","25.00","8' 5""","36.36","100.00","42.86",".00",".00","50.00","100.00"
"7/21/2013","The Open Championship","T32","-",".00","-","44.44","-","-","-","-","-","-"
"7/7/2013","The Greenbrier Classic","T30",".035","20.00","17' 0""","60.87","100.00","57.14","50.00",".00","66.67","83.33"
"6/25/2013","(*) CVS Caremark Charity","T4","-","-","-","-","-","-","-","-","-","-"
"6/23/2013","Travelers Championship","4",".625",".00","-","69.57","100.00","71.43","50.00","50.00","69.23","100.00"
"6/16/2013","U.S. Open","T32","-","33.33","-","39.13","-","-","-","-","-","-"
"6/2/2013","the Memorial Tournament","T29",".053","42.86","13' 10""","47.83","100.00","55.56","22.22","-","70.00","50.00"
"5/12/2013","THE PLAYERS Championship","T37","-.950","33.33","12' 5""","30.43","100.00","14.29",".00","50.00",".00","83.33"
"5/5/2013","Wells Fargo Championship","CUT","-.099",".00","11' 9""","50.00","50.00","60.00","-","50.00","50.00","-"
"4/28/2013","Zurich Classic of New Orl","T15",".144","83.33","5' 6""","66.67","100.00","60.00","66.67","40.00","87.50","100.00"
"4/14/2013","Masters Tournament","T50","-","50.00","-","46.15","-","-","-","-","-","-"
"3/26/2013","(*) Tavistock Cup","T4","-","-","-","-","-","-","-","-","-","-"
"3/24/2013","Arnold Palmer Invt'l","T14",".008","57.14","10' 5""","62.50","60.00","83.33","50.00","83.33","63.64","66.67"
"3/10/2013","WGC-Cadillac Championship","T18",".575","45.45","8' 11""","65.38","100.00","71.43","16.67","100.00","76.92","100.00"
"2/24/2013","WGC-Accenture Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"2/17/2013","Northern Trust Open","CUT",".150","40.00","18' 5""","56.25","75.00","60.00","33.33","33.33","62.50","100.00"
"2/3/2013","Waste Management Phoenix","15","-.563","60.00","8' 4""","60.00","100.00",".00","25.00","100.00","62.50","100.00"
"1/7/2013","Hyundai T of C","T4",".107","100.00","2' 5""","57.14","-","50.00","-","50.00","50.00","100.00"
"12/2/2012","(*) World Challenge","T9","-","-","-","-","-","-","-","-","-","-"
"11/4/2012","(*) WGC-HSBC Champions","33","-","-","-","-","-","-","-","-","-","-"
"10/24/2012","(*) PGA Grand Slam","T3","-","-","-","-","-","-","-","-","-","-"
"9/30/2012","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-"
"9/23/2012","TOUR Championship","T5","-.006","40.00","9' 11""","61.90","100.00","66.67","50.00","50.00","60.00","100.00"
"9/9/2012","BMW Championship","T12",".194",".00","9' 8""","77.27","100.00","80.00",".00","40.00","87.50","100.00"
"9/3/2012","Deutsche Bank Champ","CUT","-1.131","50.00","23' 4""","52.94","100.00","40.00",".00","50.00","50.00","62.50"
"8/26/2012","The Barclays","T10",".248","16.67","13' 5""","54.17","83.33","63.64","33.33","25.00","45.45","100.00"
"8/12/2012","PGA Championship","T11","-","-","-","60.87","-","-","-","-","-","-"
"8/5/2012","WGC-Bridgestone Invit'l","T19",".203",".00","26' 4""","50.00","100.00","50.00",".00","25.00","58.33","100.00"
"7/22/2012","The Open Championship","T23","-","33.33","-","48.15","-","-","-","-","-","-"
"6/24/2012","Travelers Championship","T2",".471","40.00","16' 1""","66.67","75.00","100.00","100.00","100.00","54.55","75.00"
"6/17/2012","U.S. Open","CUT","-","28.57","-","31.25","-","-","-","-","-","-"
"6/3/2012","the Memorial Tournament","CUT","-.461","66.67","6' 8""","64.71","100.00","66.67","-","-","60.00","83.33"
"4/29/2012","Zurich Classic of New Orl","T18","-.277","33.33","8' 1""","46.67","100.00","25.00",".00","50.00","44.44","100.00"
"4/8/2012","Masters Tournament","1","-","66.67","-","73.68","-","-","-","-","-","-"
"3/25/2012","Arnold Palmer Invt'l","T4",".442","37.50","6' 3""","55.56","100.00","42.86","100.00",".00","75.00","33.33"
"3/20/2012","(*) Tavistock Cup","T2","-","-","-","-","-","-","-","-","-","-"
"3/11/2012","WGC-Cadillac Championship","2","-.346","50.00","11' 6""","54.55","50.00","61.54",".00","50.00","72.73","100.00"
"2/26/2012","WGC-Accenture Match Play","T17","-","-","-","-","-","-","-","-","-","-"
"2/19/2012","Northern Trust Open","T13","-.046","100.00","1' 4""","64.29","75.00","70.00","25.00","33.33","68.75","100.00"
"2/5/2012","Waste Management Phoenix","T5",".145","33.33","16' 0""","52.94","75.00","37.50",".00","66.67","50.00","100.00"
"1/29/2012","Farmers Insurance Open","T13",".710","50.00","6' 7""","68.75","100.00","61.54","50.00","50.00","80.00","100.00"
