"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"6/30/2013","AT&T National","CUT","-.399","40.00","14' 10""","50.00","100.00","80.00","40.00",".00","42.86","100.00"
"6/23/2013","Travelers Championship","T51","-.215","28.57","16' 9""","54.55","100.00","60.00",".00","100.00","37.50","80.00"
"6/9/2013","FedEx St. Jude Classic","CUT","-1.192","40.00","15' 6""","55.56","100.00","50.00","20.00","60.00","80.00","100.00"
"6/2/2013","the Memorial Tournament","CUT","-.195","28.57","14' 8""","38.89","100.00","20.00",".00","100.00","33.33","100.00"
"5/19/2013","HP Byron Nelson Champ","T27","-.177","25.00","9' 8""","64.00","100.00","66.67",".00","66.67","72.73","100.00"
"5/12/2013","THE PLAYERS Championship","CUT",".124","50.00","13' 3""","50.00","-","60.00",".00",".00","87.50","-"
"5/5/2013","Wells Fargo Championship","T10",".534","50.00","8' 2""","65.38","100.00","66.67",".00","40.00","92.31","75.00"
"4/28/2013","Zurich Classic of New Orl","CUT","-.479","100.00","22' 9""","73.33","100.00",".00",".00",".00","100.00","100.00"
"4/21/2013","RBC Heritage","T59",".039","80.00","8' 5""","66.67","100.00","63.64","50.00","71.43","60.00","88.89"
"4/7/2013","Valero Texas Open","T22",".039","75.00","14' 0""","70.37","66.67","75.00","57.14","62.50","83.33","83.33"
"3/31/2013","Shell Houston Open","CUT","-.826","25.00","5' 7""","53.85","100.00","33.33",".00","25.00","-","100.00"
"3/24/2013","Arnold Palmer Invt'l","CUT","-.948",".00","11' 3""","10.00","100.00",".00",".00","14.29",".00","-"
"3/17/2013","Tampa Bay Championship","T14",".995","25.00","13' 1""","73.08","100.00","80.00",".00","83.33","73.33","75.00"
"3/10/2013","Puerto Rico Open","T18","-","54.55","-","72.22","66.67","100.00","-","-","-","-"
"3/3/2013","The Honda Classic","CUT",".496","60.00","7' 9""","37.50","-","16.67","25.00",".00","50.00","100.00"
"2/17/2013","Northern Trust Open","T51",".472","33.33","10' 9""","58.62","100.00","80.00","22.22","100.00","58.33","100.00"
"2/10/2013","AT&T Pebble Beach","T50","-.591","30.00","9' 3""","59.09","75.00","55.56",".00",".00","33.33","100.00"
"2/3/2013","Waste Management Phoenix","T32",".180","28.57","11' 0""","63.16","100.00","50.00",".00","100.00","55.56","80.00"
"1/27/2013","Farmers Insurance Open","T44",".369","50.00","7' 3""","56.25","100.00","37.50","30.00","50.00","75.00","80.00"
"1/20/2013","Humana Challenge","CUT","-1.162","33.33","-","43.75","100.00","50.00",".00","100.00",".00","100.00"
"1/13/2013","Sony Open in Hawaii","CUT",".068","40.00","7' 5""","37.50","100.00","14.29",".00","33.33","42.86","66.67"
"11/11/2012","Children's Miracle","T56","-.196","54.55","13' 9""","67.86","50.00","70.00","33.33","-","60.00","100.00"
"10/28/2012","(*) CIMB Classic","T10","-","-","-","-","-","-","-","-","-","-"
"10/21/2012","The McGladrey Classic","T27","-.135","60.00","14' 0""","50.00","-","50.00","100.00","20.00","55.56","100.00"
"10/7/2012","JT Shriners","CUT",".451","33.33","11' 4""","60.00","100.00","40.00",".00","50.00","75.00","100.00"
"9/9/2012","BMW Championship","T41","-.842","75.00","6' 9""","62.96","83.33","58.33",".00","57.14","83.33","88.89"
"9/3/2012","Deutsche Bank Champ","T74","-.276","50.00","11' 2""","54.84","100.00","42.86","16.67","25.00","63.64","80.00"
"8/26/2012","The Barclays","T5",".741","22.22","11' 8""","62.07","100.00","76.92",".00","37.50","83.33","100.00"
"8/19/2012","Wyndham Championship","CUT","-1.156",".00","13' 2""","57.14","100.00","-",".00","75.00","66.67","100.00"
"7/29/2012","RBC Canadian Open","T19","-.771","100.00","3' 2""","75.86","87.50","50.00",".00","66.67","81.25","100.00"
"7/15/2012","John Deere Classic","T19",".305","42.86","6' 4""","46.67","66.67","25.00",".00",".00","66.67","75.00"
"7/8/2012","The Greenbrier Classic","T69","-.223","40.00","12' 9""","61.54","100.00","63.64","40.00","60.00","62.50","75.00"
"7/1/2012","AT&T National","T11",".921","50.00","17' 2""","57.14","100.00","60.00","40.00","50.00","80.00","100.00"
"6/24/2012","Travelers Championship","T24",".336",".00","14' 2""","60.00","66.67","100.00","66.67","50.00","80.00","50.00"
"6/17/2012","U.S. Open","CUT","-","100.00","-","61.11","-","-","-","-","-","-"
"6/10/2012","FedEx St. Jude Classic","CUT",".064","75.00","7' 2""","72.22","100.00","100.00",".00","100.00","55.56","100.00"
"6/3/2012","the Memorial Tournament","CUT","-.257","50.00","7' 1""","47.62","100.00","50.00","33.33","33.33","62.50","60.00"
"5/27/2012","Crowne Plaza Invitational","CUT",".263","50.00","8' 3""","50.00","100.00","50.00",".00","50.00","80.00","66.67"
