"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"10/21/2012","The McGladrey Classic","T27",".154","1.055","289.4","280.1","303","80.36","22' 0""","5.36","7.14","26","110.89","7"
"10/7/2012","JT Shriners","CUT",".048",".072","307.3","298.0","335","57.14","17' 10""","14.29","17.86","1,998","111.72","1,998"
"9/9/2012","BMW Championship","T41","-.452",".196","269.5","275.6","309","80.36","39' 1""","9.09","3.64","76","110.28","41"
"9/3/2012","Deutsche Bank Champ","T74","-1.842","-.301","293.9","284.8","332","67.86","30' 11""","10.71","19.64","62","110.57","7"
"8/26/2012","The Barclays","T5",".959",".619","299.4","292.7","322","64.29","19' 3""","12.50","21.43","56","110.83","44"
"8/19/2012","Wyndham Championship","CUT","-2.400",".897","299.8","288.8","345","57.14","15' 10""","14.29","28.57","1,998","110.39","1,998"
"7/29/2012","RBC Canadian Open","T19","-.733",".604","292.5","280.8","333","69.64","19' 0""","12.50","10.71","45","111.25","88"
"7/15/2012","John Deere Classic","T19","1.344",".467","297.1","293.5","339","76.79","17' 4""","5.36","7.14","54","111.86","34"
"7/8/2012","The Greenbrier Classic","T69","-.525","-.319","304.3","295.8","363","60.71","16' 5""","25.00","8.93","102","111.46","107"
"7/1/2012","AT&T National","T11","1.694",".438","296.5","292.7","360","69.64","28' 4""","24.39","9.76","54","111.70","54"
"6/24/2012","Travelers Championship","T24","1.204",".181","289.9","283.7","327","75.00","18' 5""","7.14","7.14","52","111.38","128"
"6/17/2012","U.S. Open","CUT","-","-","288.8","-","315","35.71","-","-","-","1,998","-","-"
"6/10/2012","FedEx St. Jude Classic","CUT","-.268",".282","280.0","285.0","316","53.57","16' 1""","25.93","11.11","1,998","110.40","1,998"
"6/3/2012","the Memorial Tournament","CUT","-2.847",".354","287.3","279.1","331","78.57","20' 7""","3.57","10.71","1,998","109.00","-"
"5/27/2012","Crowne Plaza Invitational","CUT","-.750","-.874","295.8","279.3","320","42.86","19' 9""","21.43","17.86","1,998","108.17","1,998"
"5/13/2012","THE PLAYERS Championship","T51",".676","1.213","287.9","285.1","322","66.07","18' 10""","19.64","5.36","51","112.02","92"
"5/6/2012","Wells Fargo Championship","T57",".119",".574","294.0","296.6","337","53.57","40' 9""","12.96","14.81","51","110.84","69"
"4/29/2012","Zurich Classic of New Orl","CUT",".551",".907","292.8","283.5","335","71.43","29' 11""","7.14","10.71","1,998","111.37","1,998"
